Upper_bound,Impression,Clicks,CTR,CPM,CPC
2,360,0,0.0,802.7777777777778,0.0
4,882,0,0.0,1606.5759637188207,0.0
6,7646,1,0.00013078733978550875,4444.938529950301,33986.0
8,10850,8,0.0007373271889400922,5037.142857142858,6831.625
10,13364,8,0.000598623166716552,5692.75665968273,9509.75
12,17913,8,0.00044660302573549935,6895.271590465026,15439.375
14,21058,10,0.00047487890587900086,7728.226802165448,16274.1
16,24081,11,0.00045679166147585235,8576.138864665088,18774.727272727272
18,28559,12,0.00042018277950908647,9819.67155712735,23370.0
20,32248,13,0.00040312577524187547,10802.437360456463,26796.69230769231
22,49203,16,0.00032518342377497306,14046.237018068003,43194.8125
24,55064,17,0.000308731657707395,14918.349556879268,48321.41176470588
26,58372,19,0.0003254985266908792,15460.546152264784,47498.05263157895
28,60730,20,0.00032932652725177014,15892.524287831386,48257.65
30,63031,22,0.00034903460202122765,16351.90620488331,46848.954545454544
32,71548,23,0.00032146251467546263,18050.413708279757,56150.913043478264
34,75254,25,0.00033220825471071304,18765.288223881787,56486.52
36,77716,26,0.0003345514437181533,19257.12851922384,57561.03846153846
38,80601,29,0.0003597970248508083,19870.708800138957,55227.55172413793
40,83032,29,0.00034926293477213603,20412.575874361693,58444.724137931036
42,86683,31,0.00035762490915173677,21252.829274482883,59427.709677419356
44,89727,34,0.00037892719025488426,21968.370724531076,57975.17647058824
46,93170,36,0.00038639046903509713,22800.686916389393,59009.444444444445
48,96134,38,0.000395281586119375,23534.12944431731,59537.63157894737
50,99058,40,0.0004038038320983666,24275.646590886146,60117.425
52,114762,46,0.0004008295428800474,27816.78604416096,69398.04347826086
54,120791,50,0.0004139381245291454,29032.287173713274,70136.78
56,129234,50,0.00038689508952752374,30721.946237058357,79406.4
58,132000,52,0.00039393939393939396,31262.14393939394,79357.75
60,135288,53,0.0003917568446573236,31926.297971734373,81495.18867924529
62,139137,54,0.0003881066862157442,32714.45409919719,84292.42592592593
64,141479,55,0.0003887502738922384,33209.54346581471,85426.41818181818
66,144111,57,0.0003955284468222412,33778.32365329503,85400.49122807017
68,147595,57,0.00038619194417155054,34551.44144449338,89467.01754385965
70,149629,58,0.00038762539347319034,35012.14336793002,90324.68965517242
72,167468,74,0.0004418754627749779,38813.37927245802,87837.82432432432
74,162951,71,0.0004357138035360323,39889.28573620291,91549.28169014085
76,161358,72,0.0004462127691220764,40283.0910150101,90277.76388888889
78,152355,78,0.0005119621935610909,42663.50956647304,83333.32051282052
80,151379,79,0.0005218689514397638,42938.57800619637,82278.46835443038
82,145320,80,0.0005505092210294523,44728.86732727773,81249.9875
