budget,bid_price,impression,clicks,ctr,cpm,cpc,cost
1/64,2.0,360,0,0.0,802.7777777777778,0.0,289
1/64,27.0,6499,3,0.0004616094783812894,15627.327281120171,33854.0,101562
1/64,52.0,3678,3,0.0008156606851549756,27613.37683523654,33854.0,101562
1/64,77.0,2525,1,0.00039603960396039607,40222.57425742574,101562.0,101562
1/64,102.0,2018,1,0.0004955401387512388,50328.04757185332,101562.0,101562
1/64,127.0,1870,1,0.0005347593582887701,54311.229946524065,101562.0,101562
1/64,152.0,1739,1,0.0005750431282346176,58402.530189764235,101562.0,101562
1/64,177.0,1596,1,0.0006265664160401002,63635.338345864664,101562.0,101562
1/64,202.0,1488,1,0.0006720430107526882,68254.03225806452,101562.0,101562
1/64,227.0,1419,1,0.0007047216349541931,71572.93868921776,101562.0,101562
1/64,252.0,1376,1,0.0007267441860465116,73809.59302325582,101562.0,101562
1/64,277.0,1331,1,0.0007513148009015778,76305.03380916604,101562.0,101562
1/64,302.0,1317,1,0.0007593014426727411,77116.17312072893,101562.0,101562
1/32,2.0,360,0,0.0,802.7777777777778,0.0,289
1/32,27.0,13016,6,0.00046097111247695143,15605.716041794714,33854.0,203124
1/32,52.0,7408,6,0.0008099352051835853,27419.546436285094,33854.0,203124
1/32,77.0,5093,3,0.0005890437855880621,39882.9766345965,67708.0,203124
1/32,102.0,4100,4,0.000975609756097561,49542.43902439024,50781.0,203124
1/32,127.0,3807,3,0.0007880220646178094,53355.39795114264,67708.0,203124
1/32,152.0,3551,2,0.000563221627710504,57201.914953534215,101562.0,203124
1/32,177.0,3282,3,0.0009140767824497258,61890.310786106034,67708.0,203124
1/32,202.0,3048,3,0.000984251968503937,66641.73228346456,67708.0,203124
1/32,227.0,2908,4,0.001375515818431912,69850.06877579092,50781.0,203124
1/32,252.0,2796,4,0.001430615164520744,72648.0686695279,50781.0,203124
1/32,277.0,2686,3,0.0011169024571854058,75623.23157110946,67708.0,203124
1/32,302.0,2660,3,0.0011278195488721805,76362.40601503759,67708.0,203124
1/16,2.0,360,0,0.0,802.7777777777778,0.0,289
1/16,27.0,26020,10,0.0003843197540353574,15612.951575710991,40624.9,406249
1/16,52.0,14708,8,0.0005439216752787598,27620.954582540115,50781.125,406249
1/16,77.0,10027,7,0.0006981150892590007,40515.50812805425,58035.57142857143,406249
1/16,102.0,8134,9,0.0011064666830587658,49944.553725104495,45138.77777777778,406249
1/16,127.0,7542,9,0.0011933174224343676,53864.88994961549,45138.77777777778,406249
1/16,152.0,6965,6,0.0008614501076812635,58327.20746590093,67708.16666666667,406249
1/16,177.0,6444,7,0.0010862818125387957,63042.985723153324,58035.57142857143,406249
1/16,202.0,5997,6,0.0010005002501250625,67742.03768550942,67708.16666666667,406249
1/16,227.0,5693,6,0.0010539258738802037,71359.38872299314,67708.16666666667,406249
1/16,252.0,5391,6,0.0011129660545353367,75356.891114821,67708.16666666667,406249
1/16,277.0,5224,6,0.0011485451761102604,77765.88820826953,67708.16666666667,406249
1/16,302.0,5156,6,0.0011636927851047323,78791.50504266874,67708.16666666667,406249
1/8,2.0,360,0,0.0,802.7777777777778,0.0,289
1/8,27.0,51943,15,0.00028877808366863675,15642.126946845581,54166.6,812499
1/8,52.0,29272,15,0.0005124350915550697,27756.86663022684,54166.6,812499
